Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
GSM3290067,0.0421618273389523,0,0.0138058485873717,0.118332273623128,0,0.265823387914878,0,0,0,0,0,0.0484503073149923,0.0396139381703304,0,0.0242591213367999,0.196725583067685,0,0.0539952868983093,0.158031999946145,0,0,0.0388004258014088,0,0.254463424532559,0.97779680379948
GSM3290068,0.0978897065916068,0,0.029235575799175,0.109986457479699,0,0.272878843898977,0,0,0,0,0.0169093813769811,0.00310551318934087,0.0438013244357059,0.0316530322649787,0,0.144421730861136,0,0.040980733494012,0.184650243214761,0,0,0.0244874573936267,0,0.280987007353471,0.966746278727175
GSM3290069,0.0471497719010171,0,0.00932075064211417,0.0477934409787875,0,0.116957291270584,0,0,0,0,0.0196564708540167,0.0144302355500848,0.0505377860134195,0.235831259136512,0.00428637970393961,0.211339511736242,0,0.057969035335774,0.165382712467373,0,0,0.0193453544101363,0,0.280124148641337,0.970681762984764
GSM3290070,0.150042402357056,0,0.0742574911007004,0.0771400988625448,0,0.154597888917987,0,0,0,0,0,0.0268173845715372,0.0161475195502797,0.110506356017435,0,0.118771194781233,0,0.0345080453595508,0.186118167513515,0,0,0.0510934509681605,0,0.338411820115575,0.942676762088499
GSM3290071,0.0631996266993636,0,0.0405033449315603,0.0428445133146453,0,0.150424745133823,0,0,0,0,0.00551720945095807,0,0.0169770371210872,0.0740141942216261,0.0145208320451207,0.301576162565865,0,0.0476514477553539,0.203071823154296,0,0,0.0396990636063007,0,0.403097321761393,0.91465162904937
GSM3290072,0.157817335653203,0,0.0216803637893857,0.146079555953454,0,0.100690803710563,0,0,0,0,0.0337218332380746,0,0.0562538923428294,0.00703048894110604,0.0228461600233188,0.242093418238043,0,0.073679076716474,0.0719812511928283,0,0.000656402252852859,0.0654694179478675,0,0.353124678961979,0.935583225349336
GSM3290073,0.0250779998431858,0,0.0129336286954854,0.0342237404250873,0,0.130354456354093,0,0,0,0,0.0149303356200388,0.0109798225526929,0.0734803537394075,0.156730611403711,0,0.181410874174895,0,0.108202093481554,0.195543433780123,0,0,0.0561326499297255,0,0.299724082682622,0.959527163256487
GSM3290074,0.097285592388754,0,0.0147616596660538,0.0254700912576319,0,0.142664187692943,0,0,0,0.0937637507548785,0.001957369959859,0,0.0102701180943294,0.088231613958112,0.0769323408574654,0.169817697312101,0,0.0318520172597353,0.157178176364918,0,0,0.0898153844332182,0,0.431091036563966,0.902082973220051
GSM3290075,0.0778386741350669,0,0.0423498914681412,0.0204224463765521,0,0.179140406151123,0,0,0,0,0.00416163595654064,0,0.013223354073119,0.0533463724396162,0,0.173540080523555,0,0.0764176477166279,0.35624216462088,0,0,0.00331732653877776,0,0.310763684749329,0.958393190167833
GSM3290076,0.0736970174196378,0,0.0454623959474729,0.0128967807436901,0,0.151612167308838,0,0,0,0.0177168117356227,0.0104964401697205,0,0.0226227388150572,0.0890309156157143,0.00866130184721928,0.220774144311595,0,0.11178759387273,0.187150464235763,0,0,0.0480912279769388,0,0.398293831041956,0.916648972945402
